form	lemma	POS	morph
༄༅། །		PUNCT
བཅོམ་ལྡན་འདས་	བཅོམ་ལྡན་འདས་	NOUN
མི་	མི་	PART
འཁྲུགས་པ་	འཁྲུགས་པ་	VERB
འི་	གི་	PART
ཆོག་	ཆོག་	VERB
མངོན་དག་	མངོན་དགའ་	NO_POS
འི་	གི་	PART
ཞིང་	ཅིང་	PART
གི་	གི་	PART
རྒྱན་	རྒྱན་	NOUN
མཛེས་བྱེད་	མཛེས་བྱེད་	OTHER
ལྷན་ཐབས་	ལྷན་ཐབས་	OTHER
ཨིནྡྲ་		NON_WORD
ནཱི་		NON_WORD
ལ་	ལ་	ADP
འི་	གི་	PART
ཆུན་	ཆུན་	NO_POS
འཕྱངས་	འཕྱངས་	NO_POS
ཞེ་	ཅེས་	PART
བྱ་བ་	བྱ་བ་	VERB
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
། །		PUNCT
བླ་མ་	བླ་མ་	NOUN
དང་	དང་	NO_POS
མགོན་པོ་	མགོན་པོ་	NOUN
མི་	མི་	PART
འཁྲུགས་པ་	འཁྲུགས་པ་	VERB
ལ་	ལ་	PART
ཕྱག་	ཕྱག་	NOUN
འཚལ་	འཚལ་	VERB
ལོ་	གོ་	PART
། །		PUNCT
སྟོབས་	སྟོབས་	NOUN
བཅུ་	བཅུ་	NUM
འི་	གི་	PART
དབང་ཕྱུག་	དབང་ཕྱུག་	NOUN
ཁྱོད་	ཁྱོད་	PRON
མཚན་	མཚན་	NOUN
དྲན་	དྲན་	VERB
མ་	མ་	PART
ཐག་	ཐག་	VERB
།		PUNCT
བདུད་	བདུད་	NOUN
ཀྱི་	གི་	PART
དཀྱིལ་འཁོར་	དཀྱིལ་འཁོར་	NOUN
རྣམ་པ་	རྣམ་པ་	NOUN
ར་	ལ་	PART
དཀྲུགས་པ་	དཀྲུགས་པ་	NON_WORD
དང་	དང་	NO_POS
། །		PUNCT
ལྷན་ཅིག་	ལྷན་ཅིག་	OTHER
བྱང་ཆུབ་	བྱང་ཆུབ་	NOUN
ལམ་	གམ་	PART
ལ་	ལ་	ADP
ས་	གིས་	PART
ཕྱི་	ཕྱི་	OTHER
མི་	མི་	PART
ལྡོག་	ལྡོག་	VERB
།		PUNCT
མཐོང་ཐོས་	མཐོང་ཐོས་	OTHER
དོན་	དོན་	NOUN
དང་	དང་	NO_POS
ལྡན་	ལྡན་	VERB
ལ་	ལ་	PART
ཕྱག་	ཕྱག་	NOUN
འཚལ་	འཚལ་	VERB
ལོ་	གོ་	PART
། །		PUNCT
མུན་ཁུང་	མུན་ཁུང་	NOUN
ལ་	ལ་	PART
ནི་	ནི་	NO_POS
སྒྲོན་མེ་	སྒྲོན་མེ་	NOUN
བཞིན་	བཞིན་	NOUN
། །		PUNCT
ལས་སྒྲིབ་	ལས་སྒྲིབ་	NOUN
མཚན་	མཚན་	NOUN
ཙམ་	ཙམ་	DET
གྱིས་	གིས་	PART
སེལ་བ་	སེལ་བ་	VERB
། །		PUNCT
གང་དེ་	གང་དེ་	NO_POS
འི་	གི་	PART
གཟུངས་	གཟུངས་	NOUN
མདོ་	མདོ་	NOUN
རྒྱ་	རྒྱ་	NOUN
གཞུང་	གཞུང་	NOUN
གི་	གི་	PART
།		PUNCT
གསལ་བྱེད་	གསལ་བྱེད་	NOUN
གཞན་	གཞན་	DET
ལ་	ལ་	PART
ཕན་	ཕན་	NOUN
ཕྱི་	ཕྱི་	OTHER
འབྲི་	འབྲི་	VERB
། །		PUNCT
དེ་	དེ་	DET
འང་	ཀྱང་	PART
ག་	ག་	NOUN
དབང་	དབང་	NOUN
ཐམས་ཅད་	ཐམས་ཅད་	DET
མཁྱེན་པ་	མཁྱེན་པ་	VERB
ཆོ་	ཆོ་	NOUN
ཀྱི་	གི་	PART
དབང་ཕྱུག་	དབང་ཕྱུག་	NOUN
གིས་	གིས་	PART
མཛད་པ་	མཛད་པ་	VERB
འི་	གི་	PART
མི་	མི་	PART
འཁྲུགས་པ་	འཁྲུགས་པ་	VERB
འི་	གི་	PART
སྒྲུབ་ཐབས་	སྒྲུབ་ཐབས་	NOUN
འདི་	འདི་	DET
ནི་	ནི་	NO_POS
རྩ་བ་	རྩ་བ་	NOUN
འི་	གི་	PART
རྒྱ་	རྒྱ་	NOUN
གཞུང་	གཞུང་	NOUN
དང་	དང་	NO_POS
ཇོ་བོ་	ཇོ་བོ་	NOUN
ཆེན་པོ་	ཆེན་པོ་	ADJ
འི་	གི་	PART
དགོངས་པ་	དགོངས་པ་	VERB
ར་	ལ་	PART
འབྱོར་	འབྱོར་	VERB
ངེས་པ་	ངེས་པ་	VERB
འི་	གི་	PART
ཚིག་	ཚིག་	NOUN
ཉུང་	ཉུང་	VERB
དོན་	དོན་	NOUN
ཟབ་	ཟབ་	VERB
ཡིད་ཆེས་པ་	ཡིད་ཆེས་པ་	NOUN
འི་	གི་	PART
གནས་	གནས་	NOUN
སུ་	ལ་	PART
སྣང་	སྣང་	VERB
ཞིང་	ཅིང་	PART
།		PUNCT
སྤྱི་		
ཇོ་བོ་	ཇོ་བོ་	NOUN
ལུགས་	ལུགས་	NOUN
ཀྱི་	གི་	PART
མི་	མི་	PART
འཁྲུགས་པ་	འཁྲུགས་པ་	VERB
ལྷ་	ལྷ་	NOUN
དགུ་	དགུ་	NUM
འདི་	འདི་	DET
ཇོ་	ཇོ་	NO_POS
ནང་རྗེ་	ནང་རྗེ་	NO_POS
བཙུན་	བཙུན་	VERB
ཆེན་པོ་	ཆེན་པོ་	ADJ
ས་	གིས་	PART
བྱ་རྒྱུད་	བྱ་རྒྱུད་	NOUN
སྤྱོད་	སྤྱོད་	VERB
རྒྱུད་	རྒྱུད་	NOUN
དུ་	ལ་	PART
བཀྲལ་བ་	བཀྲལ་བ་	VERB
ར་	ལ་	PART
བཞེད་པ་	བཞེད་པ་	VERB
འི་	གི་	PART
རྗེས་སུ་	རྗེས་སུ་	OTHER
ཕྱི་མ་	ཕྱི་མ་	ADJ
རྣམས་	རྣམས་	DET
འབྲངས་	འབྲངས་	VERB
མོད་	མོད་	VERB
།		PUNCT
སྤྱོད་	སྤྱོད་	VERB
རྒྱུད་	རྒྱུད་	NOUN
རང་ལུགས་	རང་ལུགས་	NOUN
ཐུན་མོང་	ཐུན་མོང་	ADJ
མ་ཡིན་པ་	མ་ཡིན་པ་	OTHER
འི་	གི་	PART
དབང་	དབང་	NOUN
དང་	དང་	NO_POS
ལམ་རིམ་	ལམ་རིམ་	NOUN
སྦྱོར་	སྦྱོར་	VERB
དུ་	ལ་	PART
མེད་པ་	མེད་པ་	VERB
ས་	གིས་	PART
།		PUNCT
ནང་	ནང་	NOUN
གི་	གི་	PART
ཏིང་ངེ་འཛིན་	ཏིང་ངེ་འཛིན་	NOUN
ཙམ་	ཙམ་	DET
ལས་དབང་	ལས་དབང་	NOUN
དང་	དང་	NO_POS
ཡན་ལག་	ཡན་ལག་	NOUN
ལྷག་མ་	ལྷག་མ་	NOUN
བྱ་རྒྱུད་	བྱ་རྒྱུད་	NOUN
ལྟ་	ལྟ་	OTHER
སྦྱོར་	སྦྱོར་	VERB
ཞིང་	ཅིང་	PART
།		PUNCT
བྱ་རྒྱུད་	བྱ་རྒྱུད་	NOUN
དཀྱིལ་འཁོར་	དཀྱིལ་འཁོར་	NOUN
བསྡུས་པ་	བསྡུས་པ་	VERB
འི་	གི་	PART
རིགས་	རིགས་	NOUN
ལ་	ལ་	PART
བྱ་བ་	བྱ་བ་	VERB
འང་	ཀྱང་	PART
བསྡུས་པ་	བསྡུས་པ་	VERB
མཛད་པ་	མཛད་པ་	VERB
བརྒྱུད་པ་	བརྒྱུད་པ་	VERB
འི་	གི་	PART
ཕྱག་བཞེས་	ཕྱག་བཞེས་	OTHER
སུ་	ལ་	PART
འབྱུང་བ་	འབྱུང་བ་	VERB
ཉིད་	ཉིད་	DET
སོར་བཞག་	སོར་བཞག་	NO_POS
སྟེ་	སྟེ་	PART
གསལ་བྱེད་	གསལ་བྱེད་	NOUN
ལྷན་ཐབས་	ལྷན་ཐབས་	OTHER
འགོད་པ་	འགོད་པ་	VERB
ལ་	ལ་	PART
གསུམ་	གསུམ་	NUM
།		PUNCT
རང་དོན་	རང་དོན་	NOUN
བསྙེན་སྒྲུབ་	བསྙེན་སྒྲུབ་	NOUN
ཀྱི་	གི་	PART
ཟིན་བྲིས་	ཟིན་བྲིས་	OTHER
།		PUNCT
གཉིས་	གཉིས་	NUM
དོན་	དོན་	NOUN
སྦྱིན་སྲེག་	སྦྱིན་སྲེག་	NOUN
གི་	གི་	PART
ལག་ལེན་	ལག་ལེན་	NOUN
།		PUNCT
གཞན་དོན་	གཞན་དོན་	NOUN
ཕན་	ཕན་	NOUN
གདགས་པ་	གདགས་པ་	VERB
འི་	གི་	PART
རིམ་པ་	རིམ་པ་	NOUN
འོ་	གོ་	PART
། །		PUNCT
དང་པོ་	དང་པོ་	ADJ
ལ་	ལ་	PART
བཞི་	བཞི་	NUM
།		PUNCT
འཇུག་པ་	འཇུག་པ་	VERB
འི་	གི་	PART
སྤྱོད་པ་	སྤྱོད་པ་	VERB
།		PUNCT
སྦྱོར་བ་	སྦྱོར་བ་	VERB
འི་	གི་	PART
སྤྱོད་པ་	སྤྱོད་པ་	VERB
།		PUNCT
སྒྲུབ་པ་	སྒྲུབ་པ་	VERB
འི་	གི་	PART
སྤྱོད་པ་	སྤྱོད་པ་	VERB
།		PUNCT
གྲུབ་པ་	གྲུབ་པ་	VERB
འི་	གི་	PART
སྤྱོད་པ་	སྤྱོད་པ་	VERB
འོ་	གོ་	PART
། །		PUNCT
དང་པོ་	དང་པོ་	ADJ
ནི་	ནི་	NO_POS
།		PUNCT
བསྙེན་པ་	བསྙེན་པ་	VERB
སོགས་	སོགས་	DET
ཀྱིས་	གིས་	PART
དག་པ་	དག་པ་	VERB
ར་	ལ་	PART
བྱས་པ་	བྱས་པ་	VERB
འི་	གི་	PART
བླ་མ་	བླ་མ་	NOUN
ཡོན་ཏན་	ཡོན་ཏན་	NOUN
དང་	དང་	NO_POS
ལྡན་པ་	ལྡན་པ་	VERB
ལ་	ལ་	ADP
ས་	གིས་	PART
།		PUNCT
འཇིག་རྟེན་	འཇིག་རྟེན་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
འདས་པ་	འདས་པ་	VERB
འི་	གི་	PART
རིགས་གསུམ་	རིགས་གསུམ་	OTHER
གྱི་	གི་	PART
ཡ་གྱལ་	ཡ་གྱལ་	ADJ
དེ་བཞིན་	དེ་བཞིན་	OTHER
གཤེགས་པ་	གཤེགས་པ་	VERB
འི་	གི་	PART
རིགས་	རིགས་	NOUN
བཅོམ་ལྡན་འདས་	བཅོམ་ལྡན་འདས་	NOUN
མི་	མི་	PART
འཁྲུགས་པ་	འཁྲུགས་པ་	VERB
འི་	གི་	PART
དཀྱིལ་འཁོར་	དཀྱིལ་འཁོར་	NOUN
དུ་	ལ་	PART
ཞུགས་	ཞུགས་	VERB
ཏེ་	སྟེ་	PART
།		PUNCT
ཆུ་	ཆུ་	NOUN
དང་	དང་	NO_POS
ཅོད་པན་	ཅོད་པན་	NOUN
གྱི་	གི་	PART
དབང་	དབང་	NOUN
འཁོར་བཅས་	འཁོར་བཅས་	ADJ
ནོད་	ནོད་	NO_POS
ལ་	ལ་	PART
།		PUNCT
རྒྱུད་སྡེ་	རྒྱུད་སྡེ་	NOUN
ཐམས་ཅད་	ཐམས་ཅད་	DET
ཀྱི་	གི་	PART
རྩ་བ་	རྩ་བ་	NOUN
འི་	གི་	PART
དམ་ཚིག་	དམ་ཚིག་	NOUN
ཆེན་པོ་	ཆེན་པོ་	ADJ
བཞི་	བཞི་	NUM
ར་	ལ་	PART
གྲགས་པ་	གྲགས་པ་	VERB
།		PUNCT
འཇིག་རྟེན་པ་	འཇིག་རྟེན་པ་	NOUN
འི་	གི་	PART
ཡང་དག་	ཡང་དག་	ADJ
ལྟ་བ་	ལྟ་བ་	VERB
།		PUNCT
གསུམ་	གསུམ་	NUM
ལ་	ལ་	PART
སྐྱབས་	སྐྱབས་	NOUN
སུ་	ལ་	PART
འགྲོ་བ་	འགྲོ་བ་	VERB
།		PUNCT
བྱང་ཆུབ་	བྱང་ཆུབ་	NOUN
ཏུ་	ལ་	PART
སེམས་བསྐྱེད་པ་	སེམས་བསྐྱེད་པ་	NOUN
།		PUNCT
དཀྱིལ་འཁོར་	དཀྱིལ་འཁོར་	NOUN
དུ་	ལ་	PART
དབང་	དབང་	NOUN
བསྐུར་བ་	བསྐུར་བ་	VERB
རྣམས་	རྣམས་	DET
དང་	དང་	NO_POS
།		PUNCT
བྱ་རྒྱུད་	བྱ་རྒྱུད་	NOUN
སྤྱི་	སྤྱི་	DET
འི་	གི་	PART
དམ་ཚིག་	དམ་ཚིག་	NOUN
བཅུ་བཞི་	བཅུ་བཞི་	NO_POS
།		PUNCT
རང་རིགས་	རང་རིགས་	OTHER
ཁྱད་པར་	ཁྱད་པར་	NOUN
གྱི་	གི་	PART
སྤང་བླང་	སྤང་བླང་	NOUN
ལ་	ལ་	PART
བརྩོན་པ་	བརྩོན་པ་	VERB
སྟེ་	སྟེ་	PART
།		PUNCT
མདོར་ན་	མདོར་ན་	NO_POS
དབང་	དབང་	NOUN
དང་	དང་	NO_POS
དམ་ཚིག་	དམ་ཚིག་	NOUN
ལེགས་པ་	ལེགས་པ་	VERB
ར་	ལ་	PART
